Species,Common_Name,Directory_Name,NCBI_Accession,Assembly_Status,Contig_N50,Scaffold_N50,Intact_ORFs
Baeolophus bicolor,Tufted titmouse,Baeolophus_bicolor__Tufted_titmouse__HLbaeBico1A__GCA_055754725.1,GCA_055754725.1,Chromosome,6803303,74378943,
Balaena mysticetus,bowhead whale,Balaena_mysticetus__bowhead_whale__HLbalMys1,http://alfred.liv.ac.uk/downloads/bowhead_whale/bowhead_whale_scaffolds.zip,,33808,876686,13918.0
Balaenoptera acutorostrata,minke whale,Balaenoptera_acutorostrata__minke_whale__HLbalAcu2__GCA_949987535.1,GCA_949987535.1,Chromosome,3015723,116513105,14757.0
Balaenoptera bonaerensis,Antarctic minke whale,Balaenoptera_bonaerensis__Antarctic_minke_whale__HLbalBon1__GCA_000978805.1,GCA_000978805.1,Scaffold,8410,20082,11837.0
Balaenoptera borealis,Sei whale,Balaenoptera_borealis__Sei_whale__HLbalBore1A__GCA_965194805.1,GCA_965194805.1,Chromosome,2585625,118917181,14783.0
Balaenoptera edeni,Edens whale,Balaenoptera_edeni__Edens_whale__HLbalEden2__GCA_052818205.1,GCA_052818205.1,Chromosome,56810546,112310848,14849.0
Balaenoptera musculus,Blue whale,Balaenoptera_musculus__Blue_whale__HLbalMus2__GCF_009873245.2,GCF_009873245.2,Chromosome,6315640,110314666,14294.0
Balaenoptera physalus,Fin whale,Balaenoptera_physalus__Fin_whale__HLbalPhys5A__GCA_965194825.1,GCA_965194825.1,Chromosome,2079521,110866263,14781.0
Balaenoptera ricei,Rices whale,Balaenoptera_ricei__Rices_whale__HLbalRic2__GCF_028023285.1,GCF_028023285.1,Chromosome,36541936,122071569,14784.0
Balearica regulorum gibbericeps,East African grey crowned-crane,Balearica_regulorum_gibbericeps__East_African_grey_crowned-crane__HLbalRegGib2__GCA_011004875.1,GCA_011004875.1,Chromosome,23326060,82577926,
Bambusicola thoracicus,Chinese bamboo-partridge,Bambusicola_thoracicus__Chinese_bamboo-partridge__HLbamTho1__GCA_002909625.1,GCA_002909625.1,Scaffold,10597,13160,
Baryphthengus martii,Rufous motmot,Baryphthengus_martii__Rufous_motmot__HLbarMar1__GCA_013396935.1,GCA_013396935.1,Scaffold,70136,225352,
Bassariscus astutus,ringtail,Bassariscus_astutus__ringtail__HLbasAst1,DNA Zoo Consortium,,39652,101529512,13316.0
Bassariscus sumichrasti,Cacomistle,Bassariscus_sumichrasti__Cacomistle__HLbasSum1,DNA Zoo Consortium,,44551,125116104,13834.0
Bathyergus suillus,Cape dune mole-rat,Bathyergus_suillus__Cape_dune_mole-rat__HLbatSui1,DNA Zoo Consortium,,36799,60714869,13447.0
Beatragus hunteri,Hirola,Beatragus_hunteri__Hirola__HLbeaHun1__GCA_004027495.1,GCA_004027495.1,Scaffold,57444,69303,14207.0
Bettongia gaimardi,Tasmanian bettong,Bettongia_gaimardi__Tasmanian_bettong__HLbetGaim1A__GCA_050230965.1,GCA_050230965.1,Scaffold,87363,2927997,11260.0
Bettongia penicillata ogilbyi,woylie,Bettongia_penicillata_ogilbyi__woylie__HLbetPenOgi1__GCA_023548195.1,GCA_023548195.1,Scaffold,1995330,6939976,
Bison bison bison,American bison,Bison_bison_bison__American_bison__HLbisBisBis2,DNA Zoo Consortium,,18165,101686351,13194.0
Bison bonasus,European bison,Bison_bonasus__European_bison__HLbisBon1__GCA_963879515.1,GCA_963879515.1,Scaffold,91242619,104743180,15036.0
Blarina brevicauda,Short-tailed shrew,Blarina_brevicauda__Short-tailed_shrew__HLblaBrev1__GCA_051295465.1,GCA_051295465.1,Contig,2920142,2920142,13360.0
Bombycilla garrulus,bohemian waxwing,Bombycilla_garrulus__bohemian_waxwing__HLbomGar1__GCA_013400315.1,GCA_013400315.1,Scaffold,64047,615058,
Bos frontalis,gayal,Bos_frontalis__gayal__HLbosFro1__GCA_007844835.1,GCA_007844835.1,Scaffold,28709,1003348,13519.0
Bos gaurus,gaur,Bos_gaurus__gaur__HLbosGau1__GCA_014182915.1,GCA_014182915.1,Chromosome,13340585,104471907,13203.0
Bos grunniens,domestic yak,Bos_grunniens__domestic_yak__HLbosGru1__GCA_005887515.2,GCA_005887515.2,Chromosome,44716738,114386978,12126.0
Bos indicus,Zebu cattle,Bos_indicus__Zebu_cattle__HLbosIndi3__GCF_029378745.1,GCF_029378745.1,Chromosome,42080189,104596815,15051.0
Bos javanicus,banteng,Bos_javanicus__banteng__HLbosJav1__GCF_032452875.1,GCF_032452875.1,Chromosome,47146240,87549292,15059.0
Bos mutus,wild yak,Bos_mutus__wild_yak__HLbosMut2__GCA_007646595.3,GCA_007646595.3,Scaffold,90625,16589160,14618.0
Bos taurus,cattle,Bos_taurus__cattle__HLbosTau10__GCF_002263795.3,GCF_002263795.3,Chromosome,26402946,103308737,14894.0
Brachypodius atriceps,black-headed bulbul,Brachypodius_atriceps__black-headed_bulbul__HLbraAtr1__GCA_013398615.1,GCA_013398615.1,Scaffold,85408,17537833,
Brachypteracias leptosomus,short-legged ground-roller,Brachypteracias_leptosomus__short-legged_ground-roller__HLbraLep1__GCA_013401335.1,GCA_013401335.1,Scaffold,40314,130665,
Brachyteles arachnoides,Woolly spider monkey,Brachyteles_arachnoides__Woolly_spider_monkey__HLbraAra1__GCA_047496155.1,GCA_047496155.1,Contig,58885235,58885235,14159.0
Brachyteles hypoxanthus,Northern muriqui,Brachyteles_hypoxanthus__Northern_muriqui__HLbraHypo1__GCA_049997475.1,GCA_049997475.1,Scaffold,16955,29133,12729.0
Bradypus torquatus,Maned three-toed sloth,Bradypus_torquatus__Maned_three-toed_sloth__HLbraTor4__GCA_963992745.1,GCA_963992745.1,,4748776,156600181,14783.0
Bramus lutescens,Transcaucasian mole vole,Bramus_lutescens__Transcaucasian_mole_vole__HLellLut1__GCA_001685075.1,GCA_001685075.1,Scaffold,11648,242123,11282.0
Branta canadensis,Canada goose,Branta_canadensis__Canada_goose__HLbraCana2__GCA_965231335.1,GCA_965231335.1,Chromosome,3892771,78989891,
Branta hutchinsii,Cackling goose,Branta_hutchinsii__Cackling_goose__HLbraHutc1__GCA_032270845.1,GCA_032270845.1,Scaffold,6334,83206430,
Branta leucopsis,Barnacle goose,Branta_leucopsis__Barnacle_goose__HLbraLeuc1A__GCA_965642265.1,GCA_965642265.1,Chromosome,6988405,66377272,
Branta ruficollis,Red-breasted goose,Branta_ruficollis__Red-breasted_goose__HLbraRufi1__GCA_045784505.1,GCA_045784505.1,Scaffold,86252,12640046,
Branta sandvicensis,Nene,Branta_sandvicensis__Nene__HLbraSand1__GCA_051419555.1,GCA_051419555.1,Scaffold,43876,76761305,
Bubalus bubalis,water buffalo,Bubalus_bubalis__water_buffalo__HLbubBub2__GCA_003121395.1,GCA_003121395.1,Chromosome,22441509,117219835,14125.0
Bubalus depressicornis,lowland anoa,Bubalus_depressicornis__lowland_anoa__HLbubDep1__GCA_025584935.1,GCA_025584935.1,Scaffold,34173,37876,13906.0
Bubalus kerabau,carabao,Bubalus_kerabau__carabao__HLbubKer1__GCF_029407905.1,GCF_029407905.1,Chromosome,91172394,121846921,15051.0
Bubo bubo,Eurasian eagle-owl,Bubo_bubo__Eurasian_eagle-owl__HLbubBub1__GCA_010303855.1,GCA_010303855.1,Scaffold,37091,8019613,
Bubo scandiacus,Snowy owl,Bubo_scandiacus__Snowy_owl__HLbubSca1__GCA_017315185.1,GCA_017315185.1,Scaffold,196832,19757310,
Bucco capensis,collared puffbird,Bucco_capensis__collared_puffbird__HLbucCap1__GCA_013396975.1,GCA_013396975.1,Scaffold,66968,338467,
Bucephala clangula,Common goldeneye,Bucephala_clangula__Common_goldeneye__HLbucCla1__GCA_964059595.1,GCA_964059595.1,Chromosome,4272793,66356865,
Buceros rhinoceros silvestris,Rhinoceros hornbill,Buceros_rhinoceros_silvestris__Rhinoceros_hornbill__bucRhi1__GCF_000710305.1,GCF_000710305.1,Scaffold,14587,53203,
Bucorvus abyssinicus,Abyssinian ground-hornbill,Bucorvus_abyssinicus__Abyssinian_ground-hornbill__HLbucAby1__GCA_009769605.1,GCA_009769605.1,Chromosome,12039478,40274051,
Bucorvus leadbeateri,Southern ground hornbill,Bucorvus_leadbeateri__Southern_ground_hornbill__HLbucLead1__GCA_042477495.1,GCA_042477495.1,Chromosome,574159,40451533,
Budorcas taxicolor,takin,Budorcas_taxicolor__takin__HLbudTax1__GCA_023091745.1,GCA_023091745.1,Chromosome,64431831,101265939,15031.0
Burhinus bistriatus,Double striped thick knee,Burhinus_bistriatus__Double_striped_thick_knee__HLburBis1__GCA_013397275.1,GCA_013397275.1,Scaffold,46939,409133,
Burhinus oedicnemus,Eurasian thick-knee,Burhinus_oedicnemus__Eurasian_thick-knee__HLburOed1__GCA_008921705.1,GCA_008921705.1,Scaffold,93678,1937420,
Buteo buteo,Common buzzard,Buteo_buteo__Common_buzzard__HLbutBut1A__GCA_964188355.1,GCA_964188355.1,Chromosome,4249591,46961128,
Buteo japonicus,Eastern buzzard,Buteo_japonicus__Eastern_buzzard__HLbutJap1__GCA_010312235.1,GCA_010312235.1,Scaffold,36723,7468869,
Buteo regalis,Ferruginous hawk,Buteo_regalis__Ferruginous_hawk__HLbutRega1__GCA_037951015.2,GCA_037951015.2,Scaffold,36034577,47673586,
Buteo rufinus,Long-legged buzzard,Buteo_rufinus__Long-legged_buzzard__HLbutRufi1__GCA_045784765.1,GCA_045784765.1,Scaffold,192469,16247038,
Butorides virescens,green heron,Butorides_virescens__green_heron__HLbutVir1__GCA_017310255.1,GCA_017310255.1,Contig,222988,222988,
Cacajao ayresi,Primates,Cacajao_ayresi__Primates__HLcacAyr1__GCA_963573425.1,GCA_963573425.1,Scaffold,76643,76643,13896.0
Cacajao calvus,Bald Uacari,Cacajao_calvus__Bald_Uacari__HLcacCal1__GCA_963573955.1,GCA_963573955.1,Scaffold,68772,68795,13722.0
Cacajao hosomi,Primates,Cacajao_hosomi__Primates__HLcacHos1__GCA_963573795.1,GCA_963573795.1,Scaffold,71453,71457,13745.0
Cacajao melanocephalus,Black-headed Uacari,Cacajao_melanocephalus__Black-headed_Uacari__HLcacMel1__GCA_963573385.1,GCA_963573385.1,Scaffold,71276,71282,13772.0
Cacatua leadbeateri,Major Mitchells cockatoo,Cacatua_leadbeateri__Major_Mitchells_cockatoo__HLcacLea1__GCA_010015045.1,GCA_010015045.1,Scaffold,516623,7891727,
Cairina moschata domestica,Muscovy Duck,Cairina_moschata_domestica__Muscovy_Duck__HLcaiMos1__GCA_009194515.1,GCA_009194515.1,Chromosome,89133,2417665,
Calcarius lapponicus,Lapland longspur,Calcarius_lapponicus__Lapland_longspur__HLcalLapp1__GCA_039654755.1,GCA_039654755.1,Chromosome,1995792,72367164,
Calcarius ornatus,Chestnut collared longspur,Calcarius_ornatus__Chestnut_collared_longspur__HLcalOrn1__GCA_013397715.1,GCA_013397715.1,Scaffold,52433,1242718,
Calidris canutus,Red knot,Calidris_canutus__Red_knot__HLcalCanu1__GCA_045788245.1,GCA_045788245.1,Scaffold,243797,22117256,
Calidris fuscicollis,White-rumped sandpiper,Calidris_fuscicollis__White-rumped_sandpiper__HLcalFusc1__GCA_045787265.1,GCA_045787265.1,Scaffold,180095,9472662,
Calidris himantopus,Stilt sandpiper,Calidris_himantopus__Stilt_sandpiper__HLcalHima1__GCA_045788275.1,GCA_045788275.1,Scaffold,213545,11822840,
Calidris maritima,Purple sandpiper,Calidris_maritima__Purple_sandpiper__HLcalMari1__GCA_045783535.1,GCA_045783535.1,Scaffold,203493,16310863,
Calidris melanotos,Pectoral sandpiper,Calidris_melanotos__Pectoral_sandpiper__HLcalMela1__GCA_045783155.1,GCA_045783155.1,Scaffold,134332,1575096,
Calidris pugnax,ruff,Calidris_pugnax__ruff__HLcalPug1__GCA_001431845.1,GCA_001431845.1,Scaffold,109237,10060041,
Calidris pygmaea,Spoon-billed sandpiper,Calidris_pygmaea__Spoon-billed_sandpiper__HLcalPyg1__GCA_003697955.1,GCA_003697955.1,Scaffold,189165,3136279,
Calidris ruficollis,Rufous-necked stint,Calidris_ruficollis__Rufous-necked_stint__HLcalRufi1__GCA_045782775.1,GCA_045782775.1,Scaffold,149537,2595176,
Calidris temminckii,Temmincks stint,Calidris_temminckii__Temmincks_stint__HLcalTemm1__GCA_045781935.1,GCA_045781935.1,Scaffold,107406,6761255,
Callaeas wilsoni,North Island kokako,Callaeas_wilsoni__North_Island_kokako__HLcalWil1__GCA_013398955.1,GCA_013398955.1,Scaffold,118426,133026,
Callimico goeldii,Goeldis marmoset,Callimico_goeldii__Goeldis_marmoset__HLcalGoe1,DNA Zoo Consortium,,46120,111553634,13745.0
Callipepla californica brunnescens,California quail,Callipepla_californica_brunnescens__California_quail__HLcalCalBru1__GCA_023055725.1,GCA_023055725.1,Scaffold,3481594,12585889,
Callipepla squamata,scaled quail,Callipepla_squamata__scaled_quail__HLcalSqu1__GCA_002218305.1,GCA_002218305.1,Scaffold,154132,1035259,
Callithrix jacchus,White-tufted-ear marmoset,Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1,GCA_049354715.1,Chromosome,137132494,141933726,15062.0
Callithrix penicillata,Black-pencilled marmoset,Callithrix_penicillata__Black-pencilled_marmoset__HLcalPen1__GCA_046862485.1,GCA_046862485.1,Chromosome,32659,124262003,11407.0
Callonetta leucophrys,Ringed teal,Callonetta_leucophrys__Ringed_teal__HLcalLeuc1__GCA_049176255.1,GCA_049176255.1,Scaffold,28540,75627000,
Callorhinus ursinus,northern fur seal,Callorhinus_ursinus__northern_fur_seal__HLcalUrs1__GCA_003265705.1,GCA_003265705.1,Scaffold,133024,31506801,14787.0
Callospermophilus lateralis,Golden-mantled ground squirrel,Callospermophilus_lateralis__Golden-mantled_ground_squirrel__HLcalLat1B__GCA_048772825.1,GCA_048772825.1,Chromosome,13623428,114988597,13949.0
Caloenas nicobarica,Nicobar pigeon,Caloenas_nicobarica__Nicobar_pigeon__HLcalNico2A__GCF_036013445.1,GCF_036013445.1,Chromosome,25101800,79699707,
Calonectris borealis,Corys shearwater,Calonectris_borealis__Corys_shearwater__HLcalBore3A__GCA_964195595.2,GCA_964195595.2,Chromosome,4142416,86023716,
Calypte anna,Annas hummingbird,Calypte_anna__Annas_hummingbird__HLcalAnn5__GCA_003957555.1,GCA_003957555.1,Chromosome,14522327,74081004,
Calyptomena viridis,green broadbill,Calyptomena_viridis__green_broadbill__HLcalVir1__GCA_013390005.1,GCA_013390005.1,Scaffold,40187,169242,
Camarhynchus parvulus,Small tree finch,Camarhynchus_parvulus__Small_tree_finch__HLcamPar1__GCA_901933205.1,GCA_901933205.1,Chromosome,16035651,70356807,
Camelus bactrianus,Bactrian camel,Camelus_bactrianus__Bactrian_camel__HLcamBac1__GCA_000767855.1,GCA_000767855.1,Scaffold,139019,8812066,13023.0
Camelus dromedarius,Arabian camel,Camelus_dromedarius__Arabian_camel__HLcamDro3A__GCF_036321535.1,GCF_036321535.1,Chromosome,31216184,72991593,14827.0
Camelus ferus,Wild Bactrian camel,Camelus_ferus__Wild_Bactrian_camel__HLcamFer3__GCA_009834535.1,GCA_009834535.1,Chromosome,5365398,76025729,13837.0
Campylorhamphus procurvoides,Curve billed scythebill,Campylorhamphus_procurvoides__Curve_billed_scythebill__HLcamPro1__GCA_013396655.1,GCA_013396655.1,Scaffold,152160,1025016,
Canis aureus,Golden jackal,Canis_aureus__Golden_jackal__HLcanAure1__GCF_053574225.1,GCF_053574225.1,Chromosome,56644425,68033816,15011.0
Canis latrans,Coyote,Canis_latrans__Coyote__HLcanLat1__GCA_034620425.1,GCA_034620425.1,Chromosome,42015997,64494502,13134.0
Canis lupus,Gray wolf,Canis_lupus__Gray_wolf__HLcanLup8__GCA_905319855.2,GCA_905319855.2,Chromosome,34375412,65778685,14967.0
Canis lupus baileyi,Mexican gray wolf,Canis_lupus_baileyi__Mexican_gray_wolf__HLcanLupBai8A__GCF_048164855.1,GCF_048164855.1,Chromosome,31962680,65569260,14977.0
Canis lupus dingo,dingo,Canis_lupus_dingo__dingo__HLcanLupDin2,DNA Zoo Consortium,,5374581,63865217,14600.0
Canis lupus familiaris,dog,Canis_lupus_familiaris__dog__canFam4__GCA_011100685.1,GCA_011100685.1,Chromosome,14840767,64299765,14604.0
Caperea marginata,Pygmy right whale,Caperea_marginata__Pygmy_right_whale__HLcapMar3__GCA_029224305.1,GCA_029224305.1,Scaffold,19492,112264,11237.0
Capra aegagrus,wild goat,Capra_aegagrus__wild_goat__HLcapAeg1__GCA_000765075.1,GCA_000765075.1,Scaffold,51868,1750063,14928.0
Capra hircus,Goat,Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1,GCA_041735815.1,Complete Genome,100793790,100793790,15057.0
Capra ibex,Alpine ibex,Capra_ibex__Alpine_ibex__HLcapIbex2__GCA_054642885.1,GCA_054642885.1,Chromosome,58703036,101249638,14945.0
Capra nubiana,Nubian ibex,Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1,GCA_054855995.1,Chromosome,91324156,95383454,15059.0
Capra sibirica,Siberian ibex,Capra_sibirica__Siberian_ibex__HLcapSib1__GCA_003182615.2,GCA_003182615.2,Scaffold,376582,15190720,14977.0
Capreolus capreolus,Western roe deer,Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1,GCA_951849835.1,Contig,69851389,69851389,14891.0
Capreolus pygargus,Eastern roe deer,Capreolus_pygargus__Eastern_roe_deer__HLcapPyg1__GCA_012922965.1,GCA_012922965.1,Scaffold,80310,6067221,14565.0
Capricornis sumatraensis,Sumatran serow,Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1,GCF_032405125.1,Chromosome,100934918,112748084,15032.0
Caprimulgus europaeus,Eurasian nightjar,Caprimulgus_europaeus__Eurasian_nightjar__HLcapEur1__GCA_907165065.1,GCA_907165065.1,Chromosome,30622946,82614289,
Caracal caracal,caracal,Caracal_caracal__caracal__HLcarCaa1__GCA_016801355.1,GCA_016801355.1,Scaffold,32916,2085423,14662.0
Cardinalis cardinalis,northern cardinal,Cardinalis_cardinalis__northern_cardinal__HLcarCar1__GCA_014549065.1,GCA_014549065.1,Scaffold,133919,3635514,
Caretta caretta,Loggerhead turtle,Caretta_caretta__Loggerhead_turtle__HLcarCare1A__GCF_965140235.1,GCF_965140235.1,Chromosome,124322749,137541926,
Carettochelys insculpta,Pitted-shelled turtle,Carettochelys_insculpta__Pitted-shelled_turtle__HLcarInsc4__GCF_033958435.1,GCF_033958435.1,Chromosome,126464372,130115908,
Cariama cristata,Red-legged seriema,Cariama_cristata__Red-legged_seriema__HLcarCri1__GCA_009819825.1,GCA_009819825.1,Chromosome,13514148,30176635,
Carlito syrichta,Philippine tarsier,Carlito_syrichta__Philippine_tarsier__tarSyr2__GCF_000164805.1,GCF_000164805.1,Scaffold,38165,401181,13172.0
Carollia perspicillata,Sebas short-tailed bat,Carollia_perspicillata__Sebas_short-tailed_bat__HLcarPer3__GCA_004027735.1,GCA_004027735.1,Scaffold,10341,10739,9789.0
Carpodacus erythrinus,Common rosefinch,Carpodacus_erythrinus__Common_rosefinch__HLcarEryt1A__GCA_046618715.1,GCA_046618715.1,Contig,12925667,12925667,
Castor canadensis,American beaver,Castor_canadensis__American_beaver__HLcasCana4A__GCA_047511655.2,GCA_047511655.2,Chromosome,59379167,158968201,15015.0
Castor fiber,Eurasian beaver,Castor_fiber__Eurasian_beaver__HLcasFibe1__GCA_977036005.1,GCA_977036005.1,Chromosome,48519000,144294294,14912.0
Casuarius casuarius,southern cassowary,Casuarius_casuarius__southern_cassowary__HLcasCas2__GCA_013396415.1,GCA_013396415.1,Scaffold,88589,5669588,
Catagonus wagneri,Chacoan peccary,Catagonus_wagneri__Chacoan_peccary__HLcatWag1__GCA_004024745.2,GCA_004024745.2,Scaffold,65965,19204659,14851.0
Catharus bicknelli,Bicknells thrush,Catharus_bicknelli__Bicknells_thrush__HLcatBic1__GCA_021437205.1,GCA_021437205.1,Scaffold,28060,982944,
Catharus fuscescens,veery,Catharus_fuscescens__veery__HLcatFus1__GCA_013398975.1,GCA_013398975.1,Scaffold,56061,276328,
Catharus guttatus,Hermit thrush,Catharus_guttatus__Hermit_thrush__HLcatGutt1__GCA_051295615.1,GCA_051295615.1,Contig,1278345,1278345,
Catharus minimus,Gray cheeked thrush,Catharus_minimus__Gray_cheeked_thrush__HLcatMin1__GCA_021437185.1,GCA_021437185.1,Scaffold,38559,1604676,
Catharus ustulatus,Swainsons thrush,Catharus_ustulatus__Swainsons_thrush__HLcatUst1__GCA_009819885.1,GCA_009819885.1,Chromosome,4908935,63528738,
Cavia aperea,Brazilian guinea pig,Cavia_aperea__Brazilian_guinea_pig__cavApe1__GCA_000688575.1,GCA_000688575.1,Scaffold,1039,27928671,9688.0
Cavia porcellus,domestic guinea pig,Cavia_porcellus__domestic_guinea_pig__HLcavPor4__GCA_034190915.1,GCA_034190915.1,Scaffold,48931253,75707104,14856.0
Cavia tschudii,Montane guinea pig,Cavia_tschudii__Montane_guinea_pig__HLcavTsc1__GCA_004027695.1,GCA_004027695.1,Scaffold,64807,91436,14357.0
Cebuella pygmaea,pygmy marmoset,Cebuella_pygmaea__pygmy_marmoset__HLcalPym1,DNA Zoo Consortium,,56835,118608034,13953.0
Cebus albifrons,white-fronted capuchin,Cebus_albifrons__white-fronted_capuchin__HLcebAlb2__GCA_023783575.1,GCA_023783575.1,Contig,18502463,18502463,13593.0
Cebus imitator,white-faced sapajou,Cebus_imitator__white-faced_sapajou__cebCap1__GCF_001604975.1,GCF_001604975.1,Scaffold,41196,5274112,14693.0
Centrocercus minimus,Gunnison sage-grouse,Centrocercus_minimus__Gunnison_sage-grouse__HLcenMin1__GCA_005890655.1,GCA_005890655.1,Scaffold,3500535,3849570,
Centrocercus urophasianus,Greater sage-grouse,Centrocercus_urophasianus__Greater_sage-grouse__HLcenUro1__GCF_019232065.1,GCF_019232065.1,Scaffold,177390,34618776,
Centropus bengalensis,lesser coucal,Centropus_bengalensis__lesser_coucal__HLcenBen1__GCA_013400815.1,GCA_013400815.1,Scaffold,34951,1149962,
Centropus unirufus,Rufous coucal,Centropus_unirufus__Rufous_coucal__HLcenUni1__GCA_013397695.1,GCA_013397695.1,Scaffold,79469,2055974,
Cephalopachus bancanus,Horsfields tarsier,Cephalopachus_bancanus__Horsfields_tarsier__HLcepBan1__GCA_027257055.1,GCA_027257055.1,Contig,5252243,5252243,13655.0
Cephalophula zebra,Zebra duiker,Cephalophula_zebra__Zebra_duiker__HLcepZebr1A__GCA_054099735.1,GCA_054099735.1,Chromosome,65811789,117253595,15044.0
Cephalophus harveyi,Harveys duiker,Cephalophus_harveyi__Harveys_duiker__HLcepHar1__GCA_006410635.1,GCA_006410635.1,Scaffold,61368,365466,13890.0
Cephalopterus ornatus,amazonian umbrellabird,Cephalopterus_ornatus__amazonian_umbrellabird__HLcepOrn1__GCA_013396775.1,GCA_013396775.1,Scaffold,75604,292884,
Cephalorhynchus commersonii,Commersons dolphin,Cephalorhynchus_commersonii__Commersons_dolphin__HLcepCom1,DNA Zoo Consortium,,91726,104003720,14317.0
Cepphus grylle,Black guillemot,Cepphus_grylle__Black_guillemot__HLcepGry1__GCA_013401065.1,GCA_013401065.1,Scaffold,39689,16187446,
